ClientID,ClientName,PriorityLevel,RequestedTaskIDs,GroupTag,AttributesJSON
C1,Acme Corp,3,"T17,T27,T33,T31,T20,T3,T32,T26",GroupA,"{""location"":""New York"",""budget"":100000}"
C2,Globex Inc,1,"T35,T39,T10,T17,T46",GroupB,"{""message"":""ensure deliverables align with project scope"",""location"":""London"",""budget"":56000}"
C3,Initech,4,"T28,T7,T23,T40,T41,T31,T36,T21,T5",GroupA,"{""sla"":""24h"",""vip"":true}"
C4,Umbrella Co,5,"T22,T1,T43,T21,T32,T41,T16,T5,T40",GroupC,"{""message"":""budget approved pending CFO for review"",""location"":""Mumbai"",""budget"":112000}"
C5,Stark Industries,2,"T36,T32,T8,T47,T7,T19,T20",GroupB,"{""notes"":""rush order"",""budget"":200000}"
C6,Wayne Enterprises,5,"T19,T16,T13,T40,T37,T46,T21,T3,T1",GroupC,"{""message"":""client prefers morning meetings"",""location"":""Tokyo"",""budget"":85000}"
C7,Soylent Corp,4,"T14,T38,T44,T35,T26,T18,T46,T16,T6",GroupC,"{""location"":""London"",""priority"":""high""}"
C8,Hooli,3,"T13,T15,T8,T18,T22,T2,T24,T16",GroupA,"{""message"":""escalate any delays immediately"",""location"":""San Francisco"",""budget"":189000}"
C9,Massive Dynamic,1,"T35,T44,T39,T5,T41",GroupB,"{""region"":""APAC"",""budget"":150000}"
C10,Cyberdyne Systems,2,"T39,T3,T13,T50,T8,T2,T24,T26,T6",GroupB,"{""message"":""verify all entries for compliance"",""location"":""Paris"",""budget"":158000}"
C11,Tyrell Corp,3,"T15,T5,T20,T49,T23,T42,T28,T17",GroupA,"{""location"":""Sydney"",""contact"":""alice@example.com""}"
C12,Oceanic Airlines,4,"T31,T11,T45,T44,T37,T14,T4",GroupA,"{""message"":""follow up with regional manager"",""location"":""New York"",""budget"":57000}"
C13,Pied Piper,5,"T29,T43,T41,T12,T1",GroupC,"{""vip"":false,""notes"":""standard processing""}"
C14,Buzzfeed,2,"T22,T30,T45,T6,T10,T36,T11,T17",GroupC,"{""message"":""test integration in sandbox before prod"",""location"":""London"",""budget"":105000}"
C15,Nakatomi,4,"T25,T27,T9,T38,T41,T20,T12",GroupC,"{""location"":""Berlin"",""budget"":80000}"
C16,Wonka Industries,4,"T36,T7,T33,T13,T37,T44",GroupB,"{""message"":""coordinate deliverables across teams"",""location"":""Mumbai"",""budget"":90000}"
C17,Sterling Cooper,2,"T3,T50,T39,T21,T36,T1,T32,T26",GroupC,"{""location"":""Toronto"",""budget"":120000}"
C18,Los Pollos Hermanos,5,"T32,T11,T24,T14,T44",GroupC,"{""message"":""update roadmap with client feedback"",""location"":""Berlin"",""budget"":75000}"
C19,Biffco,3,"T13,T20,T45,T18,T42",GroupC,"{""vip"":true,""sla"":""12h""}"
C20,Monolith,1,"T17,T9,T8,T29",GroupA,"{""message"":""schedule weekly status calls"",""location"":""Tokyo"",""budget"":65000}"